縣市別代碼,行政區,地點,地址,X,Y
63000,63000020,7-11忠隆,忠孝東路5段71巷6號,121.5672459,25.04173644
63000,63000020,7-11道生,東興路57號,121.5666401,25.04745703
63000,63000020,7-11總部,東興路67號,121.5666325,25.04693955
63000,63000020,7-11松家,松山路608號,121.5785261,25.0358227
63000,63000020,7-11富比世,松仁路246號,121.5694245,25.02449306
63000,63000020,7-11松信,松信路148號,121.5718792,25.04368292
63000,63000020,7-11松錢,松隆路192號,121.5722916,25.04674271
63000,63000020,7-11崧站,松隆路329巷4號,121.5793168,25.04842725
63000,63000020,7-11德鄰,松德路127號,121.5752393,25.0374812
63000,63000020,7-11信德,松德路200巷10號,121.5737836,25.03485264
63000,63000020,7-11松義,松德路271號,121.5747641,25.03287874
63000,63000020,7-11萊福,林口街48號,121.5794671,25.03825874
63000,63000020,7-11慶林,虎林街151號,121.5766903,25.0394982
63000,63000020,7-11鑫吉,虎林街85號,121.5772546,25.04466739
63000,63000020,7-11嘉馥,信義路6段21號,121.5756302,25.03452531
63000,63000020,7-11崇德,崇德街104號,121.5556189,25.02402862
63000,63000020,7-11興貿,莊敬路178巷2號,121.5610325,25.03123829
63000,63000020,7-11松智,莊敬路325巷43號,121.564742,25.02909076
63000,63000020,7-11新三連,逸仙路42巷25號,121.5631769,25.04037049
63000,63000020,7-11信嘉,嘉興街181巷21號,121.5574004,25.02629188
63000,63000020,7-11信福,福德街308號,121.5874541,25.0393335
63000,63000020,7-11廣林,福德街84巷52號,121.5811233,25.03904769
63000,63000020,7-11廣鳴,福德街88號,121.5828728,25.03820735
63000,63000020,全家信吉店,中坡北路25號,121.580778,25.04498275
63000,63000020,全家新中坡店,中坡南路229號,121.5850935,25.0406241
63000,63000020,全家協和店,中坡南路38號,121.5833737,25.0428267
63000,63000020,全家厚雅店,永吉路30巷118號,121.568647,25.04310381
63000,63000020,全家富興店,吳興街156巷16弄1號,121.5609659,25.02878328
63000,63000020,全家挹翠店,吳興街600巷56號,121.5698396,25.02034951
63000,63000020,全家聯合店,忠孝東路4段553巷6弄17號,121.5635177,25.04233933
63000,63000020,全家松安店,忠孝東路5段465號,121.5770927,25.04104159
63000,63000020,全家忠美店,忠孝東路5段498號,121.5784824,25.04096633
63000,63000020,全家建鑫店,松壽路24號,121.5678349,25.03556382
63000,63000020,全家松永店,松德路157號,121.574842,25.03653407
63000,63000020,全家信安店,松德路200巷13號,121.5737417,25.03451427
63000,63000020,全家欣富台店,虎林街120巷165號,121.5741486,25.04227362
63000,63000020,全家海華店,虎林街132巷81號,121.5740949,25.04028708
63000,63000020,全家忠林店,虎林街166號,121.5765081,25.03917482
63000,63000020,全家松仁店,信義路5段150巷221號,121.5688236,25.02842165
63000,63000020,全家祥和店,信義路5段150巷401弄31號,121.5704334,25.02415913
63000,63000020,全家永隆店,基隆路1段147巷7號,121.5661579,25.04247362
63000,63000020,全家逸鑫店,逸仙路42巷23號,121.5631473,25.04031683
63000,63000020,萊爾富信義腰花店,松山路537號,121.5782563,25.03783255
63000,63000020,萊爾富北市林口店,林口街36號,121.5794389,25.03781768
63000,63000020,萊爾富北市信德店,虎林街164巷60弄2號,121.574503,25.03794526
63000,63000020,萊爾富信義虎林店,虎林街242巷50號,121.5765602,25.03581256
63000,63000020,萊爾富信義福德店,福德街268巷18號,121.5858841,25.03945836
63000,63000020,萊爾富信義市府站店,忠孝東路5段63號1樓,121.5666521,25.04127283
63000,63000020,OK台北景聯店,吳興街110號,121.5609347,25.03013411
63000,63000020,OK北醫店,吳興街220巷33號,121.5623066,25.02719977
63000,63000020,OK信義雙和店,吳興街284巷21弄2號,121.5633736,25.02341638
63000,63000020,OK信義北城店,莊敬路393號,121.5656594,25.02759957
63000,63000020,OK台北富陽店,富陽街65號,121.5565244,25.02191593
63000,63000020,美廉社信義永吉店,永吉路180巷66弄24號,121.570554,25.04341571
63000,63000020,美廉社信義光復二店,光復南路447之4號,121.5579127,25.0351905
63000,63000020,美廉社信義吳興店,吳興街284巷15-2號,121.5637575,25.02440156
63000,63000020,美廉社信義吳興二店,吳興街345巷1號,121.5659271,25.02665721
63000,63000020,美廉社信義吳興三店,吳興街522號,121.568822,25.02204435
63000,63000020,美廉社信義忠孝東三店,忠孝東路5段423巷33號,121.5753023,25.04237096
63000,63000020,美廉社信義忠孝東二店,忠孝東路5段524巷12號,121.5796473,25.04065032
