項次,縣市別代碼,行政區,公園名稱,位置
716,63000,信 義,糶米,"吳興街600巷,家畜衛生防治檢驗所旁."
717,63000,信義,信義342號,紫雲街75號附近 (挹翠山莊)
718,63000,信 義,347號,松山路656巷兩側
719,63000,信 義,354號,"松仁路東側,信義路北側.(信義計畫區)"
720,63000,信 義,355號,"松仁路東側,信義路5段南側.(信義計畫區)"
721,63000,信 義,356號,"信義路5段北側,松德路西側間.(信義計畫區)"
722,63000,信 義,417號,信義路5段(信義廣場東側，自信義廣場劃出)
723,63000,信 義,太子,永吉路與虎林街口交叉處.
724,63000,信 義,松仁,信義路5段南側與松仁路西側間.(信義計畫區)
725,63000,信 義,松光,松山路465巷.
726,63000,信 義,松隆,"松山路650巷,松山商職西南側."
727,63000,信 義,崇德,嘉興街與崇德街交口.
728,63000,信 義,惠安水與綠生活,吳興街432巷37弄
729,63000,信 義,黎平,崇德街146巷17號
730,63000,南 港,50號,經貿園區內P2.
731,63000,南 港,三重世貿,"三重路19-7號至19-11號正對面,經貿園區內."
732,63000,南 港,中研,研究院路2段12巷58弄.
733,63000,南 港,中興,研究院路2段98巷(南港二期重劃)
734,63000,南 港,四分河濱,研究院路2段.(南深橋西南側.四分溪南側)
735,63000,南 港,市民,玉成街38巷東北側.東新街12巷南側.
736,63000,南 港,玉成,中坡南路55號.
737,63000,南 港,玉東,市民大道7段、東新街交口
738,63000,南 港,合成,中坡北路、永吉路536巷交叉口.
739,63000,南 港,合樂,玉成街(原南隆鐵工廠).
740,63000,南 港,百福,福德街309巷19號對面.
741,63000,南 港,幸福,"大坑溪廢河道,研究院路2段35巷旁."
742,63000,南 港,昆陽,昆陽街171巷1-5弄東側、龍華路南側
743,63000,南 港,東坡,東新街170巷5號後側
744,63000,南 港,東陽,重陽路235巷旁
745,63000,南 港,南港,"成福路,東新街170之1號."
746,63000,南 港,南興,"南港路1段309巷旁,南港區公所對面. "
747,63000,南 港,後山埤,南港公園西側.
748,63000,南 港,胡適,"研究院路2段,中研院對面."
749,63000,南 港,理想,舊莊街1段145巷6弄28號
750,63000,南 港,瓶蓋印象,興華路、市民大道口.
751,63000,南 港,港後,"三重路100巷旁,經貿園區內"
752,63000,南 港,湧聲,東新街170巷(自辦重劃區).
753,63000,南 港,新勝,昆陽街152巷33號
754,63000,南 港,新富,富康街52號旁.
755,63000,南 港,新新,南港路3段149巷南側.
756,63000,南 港,經貿,"三重路100巷內,經貿園區內"
757,63000,南 港,萬福,忠孝東路6段70巷10號對面.
758,63000,南 港,福山,研究院路2段61巷1弄16號
759,63000,南 港,興南,興南街152號
760,63000,南 港,興華,興華路129號左側
761,63000,南 港,聯成,忠孝東路6段250巷1弄
762,63000,南 港,舊庄,舊莊街1段145巷12號前
763,63000,南 港,六福,研究院路2段3巷底
764,63000,南 港,東明,南港路2段22號.(原東新公園)
765,63000,南 港,東新,南港路2段104號.(原東明公園)
766,63000,南 港,南汐,南港路1段與研究院路1段交叉口.
767,63000,南 港,重陽,"重陽路120號,中視攝影棚內停車場."
768,63000,南 港,29號,"研究院路2段,舊莊街1段交叉路口"
769,63000,南 港,九如,"研究院路2段150巷底,四分溪旁."
770,63000,南 港,三重,"三重路以東、南軟三期以南,國家會展中心(一期重劃)."
771,63000,南 港,四分,研究院路3段68巷8號.
772,63000,南 港,合成18號綠園,忠孝東路6段玉成街口至東新街口.
773,63000,南 港,合成8號綠園,東新街口至忠孝東路6段449號.
774,63000,南 港,向陽,向陽路199巷旁、成功路1段79號.
775,63000,南 港,成福,"東新街170巷口,南港公園旁."
776,63000,南 港,成德,東新街100號之1
777,63000,南 港,南深,舊莊街1段231號旁
778,63000,南 港,園區,三重路21巷
779,63000,南 港,新坡,研究院路2段213巷2號前.
780,63000,南 港,新南,忠孝東路7段398號.
781,63000,南 港,新陽,興南街272巷3號對面.
782,63000,萬 華,三角,西園路1段與大理街交口.
783,63000,萬 華,大理,環河南路2段125巷口.
784,63000,萬 華,日善,東園街67巷旁
785,63000,萬 華,寺前,西園路1段282-2號(萬華火車站新站旁).
786,63000,萬 華,老松,桂林路與永福街之間(老松國小對面).
787,63000,萬 華,西園,東園街67巷與73巷間(西園國小對面).
788,63000,萬 華,孝德,寶興街140巷及140巷17弄.
789,63000,萬 華,和平青草園,西園路1段與艋舺大道交叉口(原仁濟療養院).
790,63000,萬 華,東園,萬大路424巷與486巷68弄間.
791,63000,萬 華,長沙,環河南路1段、長沙街2段交口
792,63000,萬 華,長順,長順街46巷旁.
793,63000,萬 華,青山,華西街8號旁
794,63000,萬 華,青年,水源路199號.
795,63000,萬 華,保德,東園街154巷旁.
