NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
N2,士林區,雙溪左岸河濱公園,士林橋捷運橋上游約10公尺處,無障礙,,121.5367,25.09914,302861.72,2776861.03
N3,士林區,雙溪右岸河濱公園,復興橋旁籃球場(2023/04/30)新增,一般型,,121.5365,25.10106,304113.25,2777078.24
N4,士林區,雙溪右岸河濱公園,雨農橋上游100公尺(2023/04/30)新增,無障礙,,121.5336,25.10117,303816.22,2777089.37
N5,士林區,雙溪右岸河濱公園,福林橋下,無障礙,,121.5268,25.10083,303127.16,2777049.7
N6,士林區,雙溪右岸河濱公園,文昌橋下游籃球場,一般型,,121.5217,25.09881,302615.35,2776823.19
N7,士林區,百齡左岸河濱公園,承德橋下,一般型,,121.5211,25.07731,302562.91,2774441.48
N8,士林區,百齡左岸河濱公園,體健設施,一般型,,121.5139,25.08175,301838.04,2774930.96
N9,士林區,百齡左岸河濱公園,溜冰場,一般型,,121.5127,25.08558,301718.7,2775355.08
N10,士林區,百齡左岸河濱公園,溜冰場,一般型,,121.5127,25.08557,301719.01,2775353.08
N11,士林區,百齡左岸河濱公園,百齡碼頭,一般型,,121.5127,25.08752,301715.66,2775569.625
N12,士林區,百齡左岸河濱公園,百齡碼頭,一般型,,121.5127,25.08752,301715.66,2775569.625
N13,士林區,百齡左岸河濱公園,百齡橋下游籃球場區,一般型,,121.5122,25.08996,301661.79,2775839.69
N14,士林區,百齡左岸河濱公園,社子棒球場,一般型,,121.5058,25.09357,301012.81,2776237.56
N15,士林區,百齡左岸河濱公園,社子棒球場,一般型,,121.5125,25.08726,301704.13,2775541.81
N16,士林區,百齡左岸河濱公園,星光廣場（三角公園）,無障礙,,121.5125,25.08726,301704.13,2775541.81
N17,士林區,百齡右岸河濱公園,承德橋下,無障礙,,121.5211,25.07853,302566.12,2774577.29
N18,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5166,25.08231,302115.21,2774993.6
N19,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5167,25.08235,302116.8,2774998.7
N20,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.516,25.0842,302047.12,2775203.13
N21,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.516,25.084,302047.21,2775180.98
N22,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5137,25.08404,302044.37,2775185.51
N23,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5147,25.09124,301915.44,2775982.44
N25,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.5138,25.09296,301825.55,2776173.06
N24,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5138,25.093,301822.1,2776177.03
N26,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.513,25.094,301743.22,2776284.4
N27,北投區,河雙21號河濱公園,自行車租借站,一般型,,121.509,25.09742,301341.14,2776664.47
N28,北投區,河雙21號河濱公園,自行出租借站,無障礙,,121.5089797,25.09741904,301336.3,2776664.68
N29,北投區,洲美共構段,洲美一抽水站旁,一般型,,121.4984,25.10969,300268.63,2778020.41
N30,北投區,洲美共構段,五分港木棧橋入口,無障礙,,121.5074,25.10868,301169.84,2777911.12
N31,北投區,洲美共構段,自行車越野場地,一般型,,121.499,25.11389,300325.77,2778485.25
N32,北投區,洲美共構段,自行車越野場地,無障礙,,121.498952,25.11376,300318.1592,2778470.93
N33,北投區,關渡防潮堤,貴子坑溪口,一般型,,121.4854,25.11522,298949.76,2778627.88
N34,北投區,關渡自然公園,西南側賞鳥廣場,一般型,,121.4686,25.11525,297252.17,2778624.99
N35,大同區,延平河濱公園,廣澤宮(台北橋上頭),無障礙,,121.5084,25.06222,301294.18,2772765.84
N36,大同區,延平河濱公園,國順疏散門旁,一般型,,121.509,25.06892,301350.2,2773508.3
N37,大同區,延平河濱公園,淡6敦煌水門,一般型,,121.5082,25.07686,301268.41,2774387.26
N38,大同區,延平河濱公園,淡6敦煌水門,無障礙,,121.5083,25.07682,301271.55,2774382.4
N39,士林區,延平河濱公園,重陽橋下,一般型,,121.5051,25.08581,300953.69,2775376.9
N40,士林區,延平河濱公園,7段頭快樂休息站,一般型,,121.4981,25.09233,300243.51,2776097.13
